Kod oblasti;Nazev oblasti;Registrovany volici;Obalky;PlatnÈ hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;»esk· n·rodnÌ fronta;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
551929;AndÏlsk· Hora;305;168;167;5;0;0;10;0;21;28;1;3;1;0;0;19;0;0;3;47;0;0;9;0;0;0;0;20;0
597198;BÌlËice;201;103;103;2;0;0;12;0;3;17;0;1;0;0;0;5;0;0;0;36;0;0;3;0;2;0;0;22;0
597201;Bohuöov;325;157;155;21;0;0;10;0;6;23;0;2;3;1;0;8;0;1;0;50;0;1;17;0;0;0;0;12;0
597210;Brantice;1†098;638;632;33;0;1;39;0;27;72;6;11;3;0;0;45;0;0;22;265;1;1;14;0;2;1;1;88;0
597180;Brunt·l;13†476;6†568;6†518;450;4;4;526;4;282;699;66;68;52;15;7;563;2;15;114;2†351;4;18;167;1;60;11;14;1†005;16
597228;B¯idliËn·;2†751;1†385;1†364;66;5;1;102;0;21;143;12;24;12;5;2;66;1;2;23;597;0;1;41;0;10;3;4;219;4
569607;B˝kov-L·ryöov;128;75;75;2;0;0;5;0;3;11;1;1;0;0;1;1;0;0;0;37;0;0;0;0;1;0;0;12;0
552003;»akov·;267;151;150;9;0;0;10;0;5;21;1;6;2;0;0;14;0;1;5;57;0;0;2;1;2;0;1;13;0
597252;DÏt¯ichov nad Byst¯icÌ;351;188;187;7;0;0;20;0;4;45;0;4;0;1;0;8;0;0;1;64;0;0;6;0;3;1;0;23;0
551864;DÌvËÌ Hrad;234;124;123;3;0;0;12;0;2;26;0;1;0;0;0;8;0;0;0;36;0;0;5;0;0;7;0;21;2
551708;Dlouh· Str·Ú;75;51;51;6;0;0;4;0;0;2;0;0;0;0;0;6;0;1;3;18;0;0;2;0;3;0;0;6;0
597287;DolnÌ Moravice;331;195;195;11;0;0;41;2;6;21;0;0;1;0;0;17;0;0;4;63;0;0;8;0;0;0;0;20;1
597317;Dvorce;1†080;514;511;18;0;0;38;0;11;71;6;10;1;0;0;30;0;1;12;197;2;2;9;0;1;0;1;99;2
597325;He¯manovice;288;173;172;13;0;0;12;0;5;16;1;2;1;0;0;12;0;0;5;69;0;0;7;0;0;0;0;27;2
551872;Hlinka;144;67;67;1;0;0;3;0;5;10;0;1;1;0;0;2;0;0;2;23;0;0;1;0;0;0;1;17;0
